name,description,oldprice,price,discount,category,category,promo,url,picture,picture,picture,picture,keywords
"Пуловер Exploded Belarus Geo","Ощутите обачную прохладу в этом пуловере от Juicy Couture! Красочные узоры в стиле 80-х и вышитый стеклярусом принт дополнят Ваш образ новыми красками.",29990,5998,80%,"Одежда > Трикотаж",,,https://juicycouture.ru/catalog/womens-clothing/knitwear/pulover-exploded-belarus-geo/,https://juicycouture.ru/upload/iblock/54f/54f825778ee3359ed07d52292c625e27.jpg,https://juicycouture.ru/upload/iblock/70f/70f82043d145f0ffe6bc23eaa9a2d612.jpg,https://juicycouture.ru/upload/iblock/707/707a9d40f4df7697af60bddb503c2b6c.jpg,,
"Пуловер Baltic Floral","Добавьте нотку кокетства Вашему образу с пуловером Baltic Floral! Элегантный черный, освежающий мятный и нежный розовый - встречайте оттенки этой весны. Нежная цветочная вышивка дополнит женственности Вашему наряду, а мягчайшие ткани окружат комфортом в течение всего дня.",25990,9097,65%,"Одежда > Толстовки",,,https://juicycouture.ru/catalog/womens-clothing/sweatshirts/pulover-baltic-floral/,https://juicycouture.ru/upload/iblock/591/591f14b865ba03cc017ed20aa1143b5f.jpg,https://juicycouture.ru/upload/iblock/c8c/c8c854a92187ac1fa90547c39b9dacf9.jpg,https://juicycouture.ru/upload/iblock/5e9/5e9cebc69787d4b7de202db913e4038f.jpg,,
"Пуловер Colorblock Ponte","Синий, мятный и розовый соединились в этой модели, собрав все весенние тенденции, чтобы освежить Ваш повседневный образ, какие бы планы Вы ни наметили на день. Мягчайшие ткани и женственные акценты - что еще нужно для комфорта?",18990,6647,65%,"Одежда > Толстовки",,,https://juicycouture.ru/catalog/womens-clothing/sweatshirts/pulover-colorblock-ponte/,https://juicycouture.ru/upload/iblock/798/7987d61b8ee916cd8df1cd97d97a8cb9.jpg,https://juicycouture.ru/upload/iblock/5b4/5b46d56776420c686fa9fed99914219a.jpg,https://juicycouture.ru/upload/iblock/24f/24ffaa17c6b1ef4bf65e24c2dc39721f.jpg,,
"Пуловер Cosmonaut Geo Jacquard","Дерзкие цвета - вот что актуально этой весной! Разбавьте свой образ яркими красками с Juicy Couture.",18990,6647,65%,"Одежда > Толстовки",,,https://juicycouture.ru/catalog/womens-clothing/sweatshirts/pulover-cosmonaut-geo-jacquard/,https://juicycouture.ru/upload/iblock/f3d/f3dd4741ca1e27385be6334a08964a79.jpg,https://juicycouture.ru/upload/iblock/b84/b8436013f950ee3ca83d0e56a8c76088.jpg,https://juicycouture.ru/upload/iblock/df7/df721573c491a7a84e36e1f3845b3345.jpg,,
"Жилет Cheeky Wash Grommets","Гранж 90-х встречается с Juicy Couture! Данный жилет из денима без особых усилий позволяет добавить ретро стиль вашему образу. Супер легкие потертости, бахрома на пройме и прорези придают винтажный вид, в то время как люверсы на кокетке указывают на последние тенденции. ;",11990,4796,60%,"Одежда > Деним",,,https://juicycouture.ru/catalog/womens-clothing/denim/zhilet-cheeky-wash-grommets/,https://juicycouture.ru/upload/iblock/3a3/3a3d41bd6fd4b2e6951dd8b244bc8bf5.jpg,https://juicycouture.ru/upload/iblock/c9c/c9c61dffbc58f7ea32d59bc4d2e5daab.jpg,https://juicycouture.ru/upload/iblock/7d3/7d351be0546cb1d589f979ada3283b11.jpg,,
"Куртка Tricot Graphic Stripe","Куртка с длинными рукавами в неоновую, черную и белую полоски, наклонные прорезные карманы, ;«университетский стиль», графика на спине.",17900,7160,60%,"Одежда > Верхняя одежда",,,https://juicycouture.ru/catalog/womens-clothing/outerwear/kurtka-tricot-graphic-stripe/,https://juicycouture.ru/upload/iblock/d11/d111898fbb4fda19a93f787e90415a60.jpg,https://juicycouture.ru/upload/iblock/086/08606821a0f0d77231f523b91a5ff498.jpg,https://juicycouture.ru/upload/iblock/d68/d68821272077f73f98d8b5570caf15bc.jpg,,
"Футболка Cali Vibe Colorblock","Направьте винтажные Калифорнийские вибрации на эту яркую футболку. Выполненная в духе тенденций спортивного стиля 70-х годов с яркой неоновой и черной графикой идеально подходит для отдыха на пляже или для выходного дня. ;",6900,2760,60%,"Одежда > Футболки",,,https://juicycouture.ru/catalog/womens-clothing/t-shirts/futbolka-cali-vibe-colorblock/,https://juicycouture.ru/upload/iblock/cbb/cbb1cc7edff4844ca50f1f2e7371125e.jpg,https://juicycouture.ru/upload/iblock/d42/d424f95fd086fd6817275d86ef60bf50.jpg,https://juicycouture.ru/upload/iblock/31e/31e99f5d54530ff83da1fbed70724028.jpg,,
"Платье Stretch Velour Fitted Tank","Не секрет, что велюр был одной из наших любимых тканей на протяжении десятилетий. Вполне в духе подиумных трендов, суперактуальное платье макси из стрейч велюра узкого кроя, максимально облегающего тело, идеально подходит как на каждый день, так и в качестве вечернего наряда.",12900,5160,60%,"Одежда > Платья",,,https://juicycouture.ru/catalog/womens-clothing/dresses/plate-stretch-velour-fitted-tank/,https://juicycouture.ru/upload/iblock/b9f/b9f679b66449287b3ceae1a1877a3203.jpg,https://juicycouture.ru/upload/iblock/1ef/1ef09d65b4a39725ad74bb160004a869.jpg,https://juicycouture.ru/upload/iblock/de5/de51d681585c0adfe256da8239b67704.jpg,,
"Брюки Velour Silverlake","Наша любимая мягкая велюровая ткань нашла продолжение в классических брюках Velour Silverlake.",12900,2580,80%,"Одежда > Брюки",,,https://juicycouture.ru/catalog/womens-clothing/pants/bryuki-velour-silverlake-689/,https://juicycouture.ru/upload/iblock/a7d/a7df59f3a81de6790a8e12b22a796dd2.jpg,https://juicycouture.ru/upload/iblock/a41/a41323268160b386af14c9bc43d463ee.jpg,,,
"Шорты Black Mid Rise","Стиль глэм-рока возвращается! Шорты с дерзкими разрезами станут идеальным дополнением вашего смелого образа. ;",5490,2745,50%,"Juicy by Juicy",,,https://juicycouture.ru/catalog/juicy-x-juicy/shorty-black-mid-rise/,https://juicycouture.ru/upload/iblock/5b4/5b4dd67fd9e0c63492f44dfff452f8f8.jpg,https://juicycouture.ru/upload/iblock/3ed/3ed4154707e932dd58719dfd22b53482.jpg,https://juicycouture.ru/upload/iblock/c6b/c6b35145fc9770e689619c4a3e9dbcaf.jpg,,
"Шорты Breezy Wash Girlfriend","Вы будете неотразимы в этих шортах от Juicy Couture! Вдохновленные стилем 80-х, эти шорты классического покроя дополнены эффектом вымытого денима и металлической фурнитурой, сочетая в себе базовый комфорт и смелые акценты.",6490,3245,50%,"Juicy by Juicy",,,https://juicycouture.ru/catalog/juicy-x-juicy/shorty-breezy-wash-girlfriend/,https://juicycouture.ru/upload/iblock/50c/50c2227bcc854cb8f1bc4e74f07fff97.jpg,https://juicycouture.ru/upload/iblock/3a3/3a377803637eec8606fec2cf61a84b3f.jpg,https://juicycouture.ru/upload/iblock/789/7894ce3bc437a3f7591cfd77dc0d033e.jpg,,
"Шорты Studded Pastel Tweed","Встречайте летнее солнце с шортами от Juicy Couture! Твидовая ткань в сочетании с металлическими деталями легко дополнит Ваш образ и освежит его нежными красками.",17900,7160,60%,"Одежда > Шорты",,,https://juicycouture.ru/catalog/womens-clothing/shorts/shorty-studded-pastel-tweed/,https://juicycouture.ru/upload/iblock/899/899363a145c004453f6fac9823a15729.jpg,https://juicycouture.ru/upload/iblock/fd6/fd681a206c8f79ac9546a2d6dbf76870.jpg,https://juicycouture.ru/upload/iblock/ad7/ad7e427376e5a670c31a8062e7f87688.jpg,,
"Юбка Bleached Blonde Wash","Добавьте в свой образ калифорнийской свежести! Юбка, выполненная из потертого денима, легко впишется в Ваш гардероб и станет лучшей парой для любимой футболки.",6490,3245,50%,"Juicy by Juicy",,,https://juicycouture.ru/catalog/juicy-x-juicy/yubka-bleached-blonde-wash/,https://juicycouture.ru/upload/iblock/432/4323b835ec749d5b2c07991cf463eca0.jpg,https://juicycouture.ru/upload/iblock/ef4/ef47839d32b5108bee4ec5589c4016d2.jpg,https://juicycouture.ru/upload/iblock/39b/39bf62f182f99ddf9f151e62c5642885.jpg,,
"Платье Downtown Floral Embroidery Mesh","Шикарный городской образ? Легко! Черное элегантное кружево поверх нежнейшей ткани соединившееся с свободным силуэтом и кокетливой молнией на спинке… Готово: Вы неотразимы!",25900,10360,60%,"Одежда > Платья",,,https://juicycouture.ru/catalog/womens-clothing/dresses/plate-downtown-floral-embroidery-mesh/,https://juicycouture.ru/upload/iblock/e1f/e1f1223751b75fdcda52b6b5cf5da52a.jpg,https://juicycouture.ru/upload/iblock/810/810b4a19b6ae876d1726417468707157.jpg,https://juicycouture.ru/upload/iblock/750/750e9731673ffc7eaba4778180256f78.jpg,,
"Топ Bucharest Floral","Кто не любит кружева? Этот романтичный топ идеально дополнит Ваш нежный образ и подчеркнет женственность.",21990,7697,65%,"Одежда > Блузки",,,https://juicycouture.ru/catalog/womens-clothing/blouses/top-bucharest-floral-WFWT56724-651/,https://juicycouture.ru/upload/iblock/e96/e96f04fc03fc0511dd980a877a73bd91.jpg,https://juicycouture.ru/upload/iblock/b55/b55516aa3d848468313e729f16be2783.jpg,https://juicycouture.ru/upload/iblock/ec4/ec44373a582988b7f5a8a4e0dadf397b.jpg,,
"Леггинсы-брюки Knit Coloblocked","  	 Тренировки не должны выглядеть скучно. Придайте немного цвета вашей спортивной одежде при помощи леггинсов Knit Colorblock, отличающимися трехцветным дизайном, боковыми полосками и заостренными, угловатыми краями, что бесспорно привлекает внимание.  ",10900,3270,70%,"Одежда > Спорт",,,https://juicycouture.ru/catalog/womens-clothing/sport/legginsy-bryuki-knit-coloblocked-WFKB64785-968/,https://juicycouture.ru/upload/iblock/f3e/f3ec6cb29e08429c0a86909031ccbcdc.jpg,https://juicycouture.ru/upload/iblock/220/220ab1056e8ba0b41a9c644f62b8c47b.jpg,https://juicycouture.ru/upload/iblock/52b/52b8e2146e3028aefd5ae91b3a911ee0.jpg,,
"Толстовка J Bling S/S Terry","Толстовка с капюшоном. Мягкой и эластичной материал Терри-это отличная альтернатива нашим фирменным велюровым костюмам. Короткие рукава.",12300,3690,70%,Костюмы,,,https://juicycouture.ru/catalog/costume/tolstovka-j-bling-s-s-terry-WTKT25281-SOFT/,https://juicycouture.ru/upload/iblock/a82/a82a26d409397bca3d3c9da1ba5bca7a.jpg,https://juicycouture.ru/upload/iblock/291/2919fb53f873ce32957f5b266c8e32b8.jpg,https://juicycouture.ru/upload/iblock/e71/e710727399e57c45a5c04a61e8aeefc0.jpg,,
"Платье Cotton Silk Voile With Lace","Платье, вдохновленное Викторианской эпохой. Деликатная и тонкая ткань очень приятна на ощупь. Декор из кружевных акцентов и шифоновых оборок еще больше подчеркивает женственность платья.",13920,6960,50%,"Одежда > Платья",,,https://juicycouture.ru/catalog/womens-clothing/dresses/plate-cotton-silk-voile-with-lace-WFWD24020-INNI/,https://juicycouture.ru/upload/iblock/ac3/ac3315d996280b22b836e8f850bdde06.jpg,https://juicycouture.ru/upload/iblock/160/1601e31b8c8f7ba15200dd3859c28236.jpg,https://juicycouture.ru/upload/iblock/d74/d7430918d33141abfa97c276f210ac05.jpg,,
"Юбка Bucharest Floral","Роскошная кружевная юбка оживит Ваш образ и дополнит его разнообразием текстур. Экспериментируйте! Создавайте новые комбинации! С чем Вы наденете эту юбку сегодня: провокационные каблуки или элегантные балетки?",21990,7697,65%,"Одежда > Юбки",,,https://juicycouture.ru/catalog/womens-clothing/skirts/yubka-bucharest-floral-WFWB52910-651/,https://juicycouture.ru/upload/iblock/400/4009ac6af1a59f7706f8a84e41a1dd88.jpg,https://juicycouture.ru/upload/iblock/34f/34fe600d2f46dee04936c048fe1754ea.jpg,https://juicycouture.ru/upload/iblock/b8d/b8d0eca54151dce84252b24433baa8ac.jpg,,
"Леггинсы Stretch Velour Stirrup","  	 Классические леггинсы — незаменимая вещь в гардеробе каждой модницы! Используйте эту модель для создания любых образов.  ",9900,1980,80%,"Одежда > Брюки",,,https://juicycouture.ru/catalog/womens-clothing/pants/legginsy-stretch-velour-stirrup-WTKB82730-009/,https://juicycouture.ru/upload/iblock/366/3660fd5e2ee356c930e9e20192b7d308.jpg,https://juicycouture.ru/upload/iblock/d52/d52b0df6072c555d08fb107baeaaf26c.jpg,https://juicycouture.ru/upload/iblock/17c/17cc9498cf9ce5932b1afbcfd9e834fb.jpg,,
"Футболка Hollywood Distressed","  	 Добро пожаловать в Голливуд! Сияйте как звезда в этом универсальном топе с ярким принтом!  ",6900,2760,60%,"Одежда > Футболки",,,https://juicycouture.ru/catalog/womens-clothing/t-shirts/futbolka-hollywood-distressed-WFKT64662-119/,https://juicycouture.ru/upload/iblock/6a2/6a231327b797f4f7665a6b3f93ffc0b0.jpg,https://juicycouture.ru/upload/iblock/1e5/1e5018e0691f18fdde7d075da372eaaf.jpg,https://juicycouture.ru/upload/iblock/3da/3da850e56cddd12b304519d18a26fa15.jpg,,
"Футболка Knit Collegiate Distressed Tank","  	 Collegiate Distressed Tank — это модный стиль, вдохновленный графическими дизайнами колледжа. Этот топ отлично подойдет как для прогулки, так и для похода в спортзал.  ",6900,2760,60%,"Одежда > Футболки",,,https://juicycouture.ru/catalog/womens-clothing/t-shirts/futbolka-knit-collegiate-distressed-tank-WFKT69337-119/,https://juicycouture.ru/upload/iblock/ac9/ac9eeec0d0b6231683365ae710556303.jpg,https://juicycouture.ru/upload/iblock/421/421219ed972cb1ee64495c054028a30e.jpg,https://juicycouture.ru/upload/iblock/a04/a04a91a99b293a35fba0205287a2918a.jpg,,
"Топ Floral Dance Lace","  	 Спортивный стиль и кокетливое кружево объединились в этой футболке от Juicy Couture, чтобы воплотить даже самый смелый образ!  ",12900,5160,60%,"Одежда > Блузки",,,https://juicycouture.ru/catalog/womens-clothing/blouses/top-floral-dance-lace-WFKT64636-009/,https://juicycouture.ru/upload/iblock/d3a/d3a8b078e06050499697eeadcaddb4d4.jpg,https://juicycouture.ru/upload/iblock/d63/d63e2e57be6dbcaeaf6418a4d97a0829.jpg,https://juicycouture.ru/upload/iblock/094/0944b7d88811f4cfb5eaf827d2272aea.jpg,,
"Топ Butterfly Lace","  	 Кружево и кокетство соединись в футболке Butterfly Lace Top, чтобы подарить вам универсальный вариант как для рабочих будней, так и для вечерней встречи. Элегантность силуэта, базовые цвета и игривый разрез на спинке — эта модель имеет все шансы стать вашим фаворитом!  ",17900,7160,60%,"Одежда > Блузки",,,https://juicycouture.ru/catalog/womens-clothing/blouses/top-butterfly-lace-WFWT64965-136/,https://juicycouture.ru/upload/iblock/9bd/9bdb5421132c0afbdacae5b810eaca38.jpg,https://juicycouture.ru/upload/iblock/56f/56f3f0550234f1f5ba5a76cfdc58e018.jpg,https://juicycouture.ru/upload/iblock/da7/da7ab8c61c9afab0a96096ad75fae954.jpg,,
"Топ Palms Lace","  	 Добавьте игривости Вашему образу с этой кокетливой футболкой от Juicy Couture! Цветочное кружево идеально дополнит Ваш гардероб и добавит женственности любому наряду.  ",18900,7560,60%,"Одежда > Блузки",,,https://juicycouture.ru/catalog/womens-clothing/blouses/top-palms-lace-WFWT71908-106/,https://juicycouture.ru/upload/iblock/c3c/c3c2ad09220093bfed56d0ae2fd8891d.jpg,https://juicycouture.ru/upload/iblock/d33/d33cb317c656d96762bef5678174ab3b.jpg,https://juicycouture.ru/upload/iblock/6f4/6f46d40f0ecfd5eea6cf42113db38675.jpg,,
"Топ Palms Lace","  	 Добавьте игривости Вашему образу с этой кокетливой футболкой от Juicy Couture! Цветочное кружево идеально дополнит Ваш гардероб и добавит женственности любому наряду.  ",18900,7560,60%,"Одежда > Блузки",,,https://juicycouture.ru/catalog/womens-clothing/blouses/top-palms-lace-WFWT71908-180/,https://juicycouture.ru/upload/iblock/7a4/7a4178963cf773d70c46182c9078a48e.jpg,https://juicycouture.ru/upload/iblock/c77/c77e365dd67ba11ebdf7a1e81ed327bd.jpg,https://juicycouture.ru/upload/iblock/dd8/dd8af93a58f575a888cc801760e395d6.jpg,,
"Комбинезон Trk Microterry Juicy Sunset","  	 Ощутите истинный комфорт в велюровом комбинезоне от Juicy Couture! Регулируемые бретели, эластичный пояс и мягкость материалов — все это соединилось в одной модели для Вашего удобства.  ",17900,7160,60%,"Одежда > Комбинезоны",,,https://juicycouture.ru/catalog/womens-clothing/overalls/kombinezon-trk-microterry-juicy-sunset-WTKR74276-119/,https://juicycouture.ru/upload/iblock/b51/b519971e2f956349cb3e13dbfe4ca67d.jpg,https://juicycouture.ru/upload/iblock/f5a/f5a2b9261744cbd956f119ec4d5116b3.jpg,https://juicycouture.ru/upload/iblock/04b/04bdb9cf0d11b33505e1bd93aa9583f0.jpg,,
"Комбинезон Trk Microterry Juicy Sunset","  	 Ощутите истинный комфорт в велюровом комбинезоне от Juicy Couture! Регулируемые бретели, эластичный пояс и мягкость материалов — все это соединилось в одной модели для Вашего удобства.  ",17900,7160,60%,"Одежда > Комбинезоны",,,https://juicycouture.ru/catalog/womens-clothing/overalls/kombinezon-trk-microterry-juicy-sunset-WTKR74276-419/,https://juicycouture.ru/upload/iblock/a0b/a0b36d88d20c3a3d4178d9701bd3ed2c.jpg,https://juicycouture.ru/upload/iblock/a80/a805207f68efb5d87b77db4a409c95ea.jpg,https://juicycouture.ru/upload/iblock/d1b/d1bfdd8b73b5f254f6409ceaffb326c3.jpg,,
"Комбинезон Grey Tencel","  	 Комбинезон Grey Tencel Romper — идеальный вариант для летних прогулок! Множество карманов, эластичный пояс на резинке и застежки-кнопки — все это создано для Вашего максимального удобства. ;  ",22900,9160,60%,"Одежда > Комбинезоны",,,https://juicycouture.ru/catalog/womens-clothing/overalls/kombinezon-grey-tencel-WFWR65666-054/,https://juicycouture.ru/upload/iblock/93e/93e1ee3eb342dbab53ed1f1fb39d6a1a.jpg,https://juicycouture.ru/upload/iblock/4e2/4e29d846932dbecec23e0222120c44d3.jpg,https://juicycouture.ru/upload/iblock/beb/beb4a8b5bb4eb9791a921b418619b777.jpg,,
"Юбка Butterfly Lace","  	 Кружево и кокетство соединись в юбке Butterfly Lace Skirt, чтобы подарить вам универсальный вариант как для рабочих будней, так и для вечерней встречи. Элегантность силуэта, базовые цвета и игривая золотистая молния — эта модель имеет все шансы стать вашим фаворитом!  ",17900,6265,65%,"Одежда > Юбки",,,https://juicycouture.ru/catalog/womens-clothing/skirts/yubka-butterfly-lace-WFWB65318-136/,https://juicycouture.ru/upload/iblock/711/7118b0ed043d41bb8ed5db4b1c3f9670.jpg,https://juicycouture.ru/upload/iblock/874/874fff02f45db4c4d5feafc409c70a9c.jpg,https://juicycouture.ru/upload/iblock/29a/29a09302ca400a74d05a4d57cb34fbb8.jpg,,
"Юбка Palms Lace","  	 Добавьте игривости Вашему образу с этой кокетливой юбкой от Juicy Couture! Черное кружево идеально дополнит Ваш гардероб и добавит женственности любому наряду.  ",17900,7160,60%,"Одежда > Юбки",,,https://juicycouture.ru/catalog/womens-clothing/skirts/yubka-palms-lace-WFWB71910-180/,https://juicycouture.ru/upload/iblock/653/65309bfaf1dbda8fe2a5160d6e707e85.jpg,https://juicycouture.ru/upload/iblock/125/125ef7043702730d8a0e69f61d09b8c7.jpg,https://juicycouture.ru/upload/iblock/5f3/5f3dfeb4168e364c50cc9f480fdb9dc3.jpg,,
"Брюки джинсовые Indigo Dip Dye Girlfriend","  	 Новый взгляд на джинсы фасона girlfriend — окрашенная в цвет индиго талия создает контраст с выбеленным низом. Нам нравится подворачивать джинсы для передачи максимально летнего образа.  ",6990,3495,50%,"Juicy by Juicy",,,https://juicycouture.ru/catalog/juicy-x-juicy/bryuki-dzhinsovye-indigo-dip-dye-girlfriend-JWFWB71108-428/,https://juicycouture.ru/upload/iblock/a8e/a8ee299853cadea04b0f037a269147ea.jpg,https://juicycouture.ru/upload/iblock/2d4/2d4fb6ec8edc02317c4e4766ef017ccb.jpg,https://juicycouture.ru/upload/iblock/6c4/6c42e45d20f89123500fceeecad34e64.jpg,,
"Футболка Embellished California","  	 Embellished California — это футболка для тех, кто ищет свободы движений и максимального комфорта. Свободный покрой и лаконичные цвета сделают эту модель Вашим фаворитом для летних развлечений, а роскошный принт добавит нотку гламура любому образу.  ",5900,2360,60%,"Одежда > Футболки",,,https://juicycouture.ru/catalog/womens-clothing/t-shirts/futbolka-embellished-california-WFKT78470-119/,https://juicycouture.ru/upload/iblock/640/640514c4a39a3b7fb9e46c81e219315a.jpg,https://juicycouture.ru/upload/iblock/eb0/eb0ed10568e541f3f1df3793cd7cfe9b.jpg,https://juicycouture.ru/upload/iblock/f5c/f5c4c9227efac71a21e4b64030a37dc8.jpg,,
"Комбинезон Microterry Flamingo","  	 Женственность, велюр и комфорт — вот он секрет успеха комбинезона Microterry Flamingo от Juicy Couture! Мы дополнили модель боковыми карманами, эластичным поясом и регулируемыми бретелями, чтобы ничто не мешало Вашему отдыху. Этот комбинезон станет идеальным выбором для уютного домашнего вечера с книгой или пижамной вечеринки в компании лучших подруг.  ",12900,5160,60%,"Одежда > Комбинезоны",,,https://juicycouture.ru/catalog/womens-clothing/overalls/kombinezon-microterry-flamingo-WTKR77858-653/,https://juicycouture.ru/upload/iblock/a3f/a3f8c8900704de8105ceb938826920f9.jpg,https://juicycouture.ru/upload/iblock/ccc/ccc5db8c5f2fcc00067bd70e0f7b86f3.jpg,https://juicycouture.ru/upload/iblock/12f/12f2e5f5f7ab20a43576465a5ef711a3.jpg,,
"Платье Hidden Cove Floral Strappy Midi","  	 Ощутите свободу летних освежающих дуновений прохлады в этом платье от Juice Couture! Свободный покрой в комбинации с эластичной верхней частью платья и боковыми разрезами обеспечат Вам свободу движений, а нежнейшие оттенки розового и цветочный принт подчеркнут женственность и мечтательность образа.  ",24900,9960,60%,"Одежда > Платья",,,https://juicycouture.ru/catalog/womens-clothing/dresses/plate-hidden-cove-floral-strappy-midi-WFWD76759-950/,https://juicycouture.ru/upload/iblock/420/420446ebafc7e24ba79934eb21a5ee11.jpg,https://juicycouture.ru/upload/iblock/bce/bce8b795d4f6d2de5bc8ca570e1c2946.jpg,https://juicycouture.ru/upload/iblock/6c9/6c97f1293eff1d935aef8fb543fe31f3.jpg,,
"Леггинсы Stretch Velour Stirrup","  	Преимущество классических леггинсов — это их простота и лаконичность, служащая базой для бесконечных экспериментов с образами. Облегающая посадка, идеально подчеркивающая фигуру, эластичный пояс и, конечно же, фирменный велюр Juicy Couture — всё это для Вас в одной модели для лучших сочетаний с миллионом образов.  ",9900,1980,80%,"Одежда > Брюки",,,https://juicycouture.ru/catalog/womens-clothing/pants/legginsy-stretch-velour-stirrup-WTKB82730-419/,https://juicycouture.ru/upload/iblock/720/720abaff3a3def6e8dbe5a63463430ea.jpg,https://juicycouture.ru/upload/iblock/1eb/1eb4c932f9e0733e0e6656e26a411c98.jpg,https://juicycouture.ru/upload/iblock/b86/b86796391fc5ae9b0b252dedbf40aaba.jpg,,
"Брюки джинсовые Floral Embellished Denim Boyfriend","  	 Мы дополнили джинсы-бойфренды нежной вышивкой, чтобы подарить Вам не только ощущение комфорта, но и возможность для создания еще более женственных образов в фирменном стиле Juicy Couture. ;  ",27900,8370,70%,"Одежда > Деним",,,https://juicycouture.ru/catalog/womens-clothing/denim/bryuki-dzhinsovye-floral-embellished-denim-boyfriend-WFWB85656-415/,https://juicycouture.ru/upload/iblock/b6c/b6c0b0637df77354c9c0cbf346ea776c.jpg,https://juicycouture.ru/upload/iblock/3ae/3ae2506dd8d8c8791d88434fac8b46d5.jpg,https://juicycouture.ru/upload/iblock/953/953322cee1800453516acde68ae27d35.jpg,,
"Брюки-Кюлоты Velour Cropped Wide Leg","  	 Эти брюки созданы специально для тех, кто ищет одновременно и комфорт, и женственность. Свободный крой и роскошные цвета — идеальная база для создания легких элегантных образов, а фирменный велюр Juicy Couture — гарант комфорта и уюта. ;  ",11900,4165,65%,"Одежда > Брюки",,,https://juicycouture.ru/catalog/womens-clothing/pants/bryuki-kyuloty-velour-cropped-wide-leg-WTKB86102-009/,https://juicycouture.ru/upload/iblock/79f/79fa8c13029ff599c8d0d43c08287d9d.jpg,https://juicycouture.ru/upload/iblock/a3c/a3c83a64326c28d20d26b402cafe5a8b.jpg,,,
"Брюки-Кюлоты Velour Cropped Wide Leg","  	 Эти брюки созданы специально для тех, кто ищет одновременно и комфорт, и женственность. Свободный крой и роскошные цвета — идеальная база для создания легких элегантных образов, а фирменный велюр Juicy Couture — гарант комфорта и уюта. ;  ",11900,4165,65%,"Одежда > Брюки",,,https://juicycouture.ru/catalog/womens-clothing/pants/bryuki-kyuloty-velour-cropped-wide-leg-WTKB86102-419/,https://juicycouture.ru/upload/iblock/22b/22b5985f6cd7706f1ba76b7a718e683f.jpg,https://juicycouture.ru/upload/iblock/725/7253a4c8a1fd701ec63997f901287de0.jpg,https://juicycouture.ru/upload/iblock/ea0/ea051f8ccd93ebda7897ea21244c9e0e.jpg,,
"Платье Ponte Fit & Flare","  	 В удивительно универсальном платье из материала понте можно пойти на вечеринку, в офис или на прогулку. Это платье ваша «палочка-выручалочка»! Скроенное из отдельных кусочков, оно идеально сидит на фигуре и подчеркивает линию талии.  ",14900,7450,50%,"Одежда > Платья",,,https://juicycouture.ru/catalog/womens-clothing/dresses/plate-ponte-fit-flare-WFKD89371-419/,https://juicycouture.ru/upload/iblock/e2d/e2dca5183cd4ca089fac8232dca35974.jpg,https://juicycouture.ru/upload/iblock/b61/b6140da64e04a7ad571571c8e7a1abce.jpg,https://juicycouture.ru/upload/iblock/7b0/7b03c9ec8f48f34d62d0d4f5de80032e.jpg,,
"Футболка Hands Off","  	 Забавная надпись «Hands Off» на футболке выполнена в знаменитом готическом шрифте Juicy Couture. А аппликация розы на спине придает оригинальность. ;  ",5900,1770,70%,"Одежда > Футболки",,,https://juicycouture.ru/catalog/womens-clothing/t-shirts/futbolka-hands-off-WFKT86026-119/,https://juicycouture.ru/upload/iblock/a7a/a7abfa8f0b68aee2ef7312adc2c3c2d0.jpg,https://juicycouture.ru/upload/iblock/785/78519e320f77ce0e403cf3baf9313f7f.jpg,https://juicycouture.ru/upload/iblock/228/2289d838d5fb7198d3b18e2ddef86f76.jpg,,
"Футболка Juicy Land","  	 Логотип «Juicy Land» сверкает драгоценными камнями, а графический замок создает стильную атмосферу. Классический круглый вырез, короткие рукава.  ",8500,2975,65%,"Одежда > Футболки",,,https://juicycouture.ru/catalog/womens-clothing/t-shirts/futbolka-juicy-land-WFKT86041-119/,https://juicycouture.ru/upload/iblock/b5f/b5fda79727e698bbeff64f391a5c1877.jpg,https://juicycouture.ru/upload/iblock/cc5/cc5f8940051387f38b9adbe05bcb0150.jpg,https://juicycouture.ru/upload/iblock/880/8800593cc56f2fef882ff3792d4f2302.jpg,,
"Футболка Dome Stud","  	 Добавьте немного настроения в ваш гардероб благодаря данной футболке. ;Она выполнена из смеси хлопка с модалом. Объемный силуэт.  ",8500,2550,70%,"Одежда > Футболки",,,https://juicycouture.ru/catalog/womens-clothing/t-shirts/futbolka-dome-stud-WFKT89013-119/,https://juicycouture.ru/upload/iblock/23f/23fdd628f3f6ed992a2874ee4060fc67.jpg,https://juicycouture.ru/upload/iblock/2fc/2fc86c644451ced1f8ef04fcb4e14aa5.jpg,https://juicycouture.ru/upload/iblock/c43/c43689cb87af78b7ccc9c53586bf97fe.jpg,,
"Брюки джинсовые Dome Stud Embellished Boyfriend","  	 Помимо небольших потертостей, актуальных прорех и необработанных краев, джинсы украшены металлическими куполообразными заклёпками для передачи городского шика. ;  ",27900,8370,70%,"Одежда > Деним",,,https://juicycouture.ru/catalog/womens-clothing/denim/bryuki-dzhinsovye-dome-stud-embellished-boyfriend-WFWB93605-488/,https://juicycouture.ru/upload/iblock/2de/2deb38bec232abcc93ce5c10a4ab53ad.jpg,https://juicycouture.ru/upload/iblock/d01/d017d842148c3b5a36110c5843e03670.jpg,https://juicycouture.ru/upload/iblock/0ad/0adab7c5e8495c315eca2396fbd4b43a.jpg,,
